Property,text
Objekt-ID,No data
Titel,"""Zige-in"""
Original_headline,"""Zigeunerin"""
Künstler*in/Autor*in,Arthur Kampf 
Sichtbare oder genannte Personen,Frau
Entstehungsjahr,(vor) 1913
Ort der Entstehung / Nutzung,vermutlich Berlin
Gattung / Genre ,Bildende Kunst
Technik,Öl Gemälde
Dimensionen:,169 x 144 cm
Kurzbeschreibung,"Eine Frau posiert Frau braunem Hintergrund und Vorhang links vor dem ein Schemel über den ein buntes Gewand geworfen ist. Sie dreht den Rücken zum Betrachter, während ihr Gesicht  im Profil zu sehen ist und ihr Arm unter einem grünen übergeschlagenen Tuch in die Seite gestützt ist. Darunter trägt sie ein rosa Kleid mit weißen Partien.   "
Motive / Topoi ,"Exotismus, Buntheit, Gewandstudie, Maler und Modell, gegebenenfalls auch Schauspielerin oder Tänzerin in der Rolle der ""Gitana"" z.B. Carmen"
Narrative / Diskurse,No data
Historischer Kontext,No data
Antiziganistische / Stigmatisierende Elemente,No data
Agency,No data
Verknüpfung ,No data
Narrativwandel bei Medienwechsel,No data
Rezeptionsweg,No data
Sammlung / Archiv ,No data
Provenienz,versteigert bei Lempertz aus niederrheinischem Privatbesitz
Literatur,No data
Ausstellungen / Aufführungen / Veröffentlichungen,Große Kunstausstellung Düsseldorf 1913
Objekt- oder Werkteil,No data
Rechte / Lizenzen,No data
Digitalisat-Link/Pfad,No data
Metadaten-Status,No data
Erfasst von,No data
Erfassungsdatum,No data
Kommentar / Anmerkung,No data
Versionsgeschichte,No data
nodeType,Painting
